city,state
Vaso,Gujarat
Varkala,Kerala
Varangaon,Maharashtra
Varanasi,Uttar Pradesh
Vaniyambadi,Tamil Nadu
Vandavāsi,Tamil Nadu
Vandalūr,Tamil Nadu
Valsād,Gujarat
Valparai,Tamil Nadu
Vallam,Tamil Nadu
Vallabh Vidyanagar,Gujarat
Valavanur,Tamil Nadu
Valabhīpur,Gujarat
Vaikam,Kerala
Vaijāpur,Maharashtra
Vagholi,Maharashtra
Vāghodia,Gujarat
Vadodara,Gujarat
Vadnagar,Gujarat
Vadlapūdi,Andhra Pradesh
Vadipatti,Tamil Nadu
Vādāsinor,Gujarat
Vadamadurai,Tamil Nadu
Vadāli,Gujarat
Vadakku Valliyūr,Tamil Nadu
Vadakāncheri,Kerala
Vāda,Maharashtra
Uttiramerūr,Tamil Nadu
Uttarkāshi,Uttarakhand
Ūttangarai,Tamil Nadu
Uttamapālaiyam,Tamil Nadu
Utraula,Uttar Pradesh
Utnūr,Telangana
Usilampatti,Tamil Nadu
Usehat,Uttar Pradesh
Urun-Islāmpur,Maharashtra
Urmar,Punjab
Uravakonda,Andhra Pradesh
Uran,Maharashtra
Upleta,Gujarat
Uppal Kalan,Telangana
Unnāo,Uttar Pradesh
Unjha,Gujarat
Unhel,Madhya Pradesh
Unchahra,Madhya Pradesh
Unchagao,Maharashtra
Una,Himachal Pradesh
Una,Gujarat
Ūn,Uttar Pradesh
Un,Gujarat
Umreth,Gujarat
Umred,Maharashtra
Umarkot,Chhattisgarh
Umarkhed,Maharashtra
Umaria,Madhya Pradesh
Umargām,Gujarat
Umarga,Maharashtra
Uluberiya,West Bengal
Ullal,Karnataka
Ulhasnagar,Maharashtra
Ukhrul,Manipur
Ujjain,Madhya Pradesh
Ujhāni,Uttar Pradesh
Udumalaippettai,Tamil Nadu
Udupi,Karnataka
Udhampur,Jammu and Kashmir
Udgīr,Maharashtra
Udangudi,Tamil Nadu
Udalguri,Assam
Udaipura,Madhya Pradesh
Udaipur,Rajasthan
Udaipur,Rajasthan
Udaipur,Tripura
Ooty,Tamil Nadu
Bara Uchāna,Haryana
Ubaidullāhganj,Madhya Pradesh
Tyāgadurgam,Tamil Nadu
Turaiyūr,Tamil Nadu
Tura,Meghalaya
Tuni,Andhra Pradesh
Tūndla,Uttar Pradesh
Tumsar,Maharashtra
Tumkūr,Karnataka
Tulsīpur,Uttar Pradesh
Tuljāpur,Maharashtra
Tufānganj,West Bengal
Tuensang,Nagaland
Tudiyalūr,Tamil Nadu
Thiruvananthapuram,Kerala
Trittāla,Kerala
Tripunittura,Kerala
Thrissur,Kerala
Trāl,Jammu and Kashmir
Toshām,Haryana
Tonk,Rajasthan
Tondi,Tamil Nadu
Tohāna,Haryana
Todaraisingh,Rajasthan
Todabhim,Rajasthan
Tittagudi,Tamil Nadu
Titlāgarh,Odisha
Titāgarh,West Bengal
Tisaiyanvilai,Tamil Nadu
Tiruvottiyūr,Tamil Nadu
Cheyyar,Tamil Nadu
Tiruvannamalai,Tamil Nadu
Tiruvankod,Tamil Nadu
Tiruvallur,Tamil Nadu
Tiruvalla,Kerala
Thiruthuraipoondi,Tamil Nadu
Thiruthani,Tamil Nadu
Tiruttangal,Tamil Nadu
Tirūrangādi,Kerala
Tirur,Kerala
Tiruppuvanam,Tamil Nadu
Tiruppur,Tamil Nadu
Tirupattur,Tamil Nadu
Tirupparangunram,Tamil Nadu
Tirupati,Andhra Pradesh
Tirunelveli,Tamil Nadu
Tirumangalam,Tamil Nadu
Tirumala,Andhra Pradesh
Tirukkoyilur,Tamil Nadu
Tirukkalikkunram,Tamil Nadu
Tiruchengode,Tamil Nadu
Tiruchirappalli,Tamil Nadu
Tiruchchendur,Tamil Nadu
Tīrthahalli,Karnataka
Tirāwari,Haryana
Tiptūr,Karnataka
Tinsukia,Assam
Tinnanūr,Tamil Nadu
Tindivanam,Tamil Nadu
Timurni,Madhya Pradesh
Tilhar,Uttar Pradesh
Tikkotti,Kerala
Tīkamgarh,Madhya Pradesh
Tijāra,Rajasthan
Thoubāl,Manipur
Thiruvarur,Tamil Nadu
Thiruvaiyaru,Tamil Nadu
Thāsra,Gujarat
Tharād,Gujarat
Thara,Gujarat
Thanjavur,Tamil Nadu
Thānesar,Haryana
Thāne,Maharashtra
Thandla,Madhya Pradesh
Thāna Bhawan,Uttar Pradesh
Thān,Gujarat
Thākurganj,Bihar
Thakurdwara,Uttar Pradesh
Tezu,Arunachal Pradesh
Tezpur,Assam
Tevāram,Tamil Nadu
Terdāl,Karnataka
Teonthar,Madhya Pradesh
Thenkasi,Tamil Nadu
Teni,Tamil Nadu
Thenali,Andhra Pradesh
Tellicherry,Kerala
Telhāra,Maharashtra
Tekkali,Andhra Pradesh
Tekkalakote,Karnataka
Tekāri,Bihar
Tehri,Uttarakhand
Teghra,Bihar
Tāsgaon,Maharashtra
Tarn Taran,Punjab
Tarikere,Karnataka
Tharangambadi,Tamil Nadu
Tārānagar,Rajasthan
Tarāna,Madhya Pradesh
Tāramangalam,Tamil Nadu
Tarakeswar,West Bengal
Tāoru,Haryana
Tanuku,Andhra Pradesh
Tandur,Telangana
Tānda,Uttar Pradesh
Tāndā,Uttar Pradesh
Tanakpur,Uttarakhand
Tammampatti,Tamil Nadu
Tamlūk,West Bengal
Tamenglong,Manipur
Tambaram,Tamil Nadu
Talwāra,Punjab
Talwandi Sābo,Punjab
Talwandi Bhai,Punjab
Taloda,Maharashtra
Taliparamba,Kerala
Tālīkota,Karnataka
Taleigao,Goa
Talegaon Dābhāde,Maharashtra
Tālcher,Odisha
Talakkād,Kerala
Talāja,Gujarat
Tāki,West Bengal
Takhatpur,Chhattisgarh
Takhatgarh,Rajasthan
Tājpur,Uttar Pradesh
Tadpatri,Andhra Pradesh
Tadepalligudem,Andhra Pradesh
Tādepalle,Andhra Pradesh
Sutrāpāra,Gujarat
Susner,Madhya Pradesh
Suriāpet,Telangana
Suriānwān,Uttar Pradesh
Surendranagar,Gujarat
Suratgarh,Rajasthan
Surat,Gujarat
Sūrandai,Tamil Nadu
Surajpur,Chhattisgarh
Sūrajgarh,Rajasthan
Supaul,Bihar
Sunel,Rajasthan
Sundarnagar,Himachal Pradesh
Sundergarh,Odisha
Sunām,Punjab
Sumbal,Jammu and Kashmir
Sullya,Karnataka
Sūlūru,Andhra Pradesh
Sulur,Tamil Nadu
Sultanpur,Punjab
Sultānpur,Uttar Pradesh
Suket,Rajasthan
Sūjāngarh,Rajasthan
Suār,Uttar Pradesh
Srivilliputhur,Tamil Nadu
Srīvardhan,Maharashtra
Srivaikuntam,Tamil Nadu
Srīsailain,Andhra Pradesh
Srīrāmnagar,Telangana
Srīperumbūdūr,Tamil Nadu
Srīnivāspur,Karnataka
Srinagar,Jammu and Kashmir
Srīnagar,Uttarakhand
Sri Mādhopur,Rajasthan
Karanpur,Rajasthan
Srikakulam,Andhra Pradesh
Sri Dūngargarh,Rajasthan
Soygaon,Maharashtra
Soron,Uttar Pradesh
Soro,Odisha
Sorada,Odisha
Sopur,Jammu and Kashmir
Sonkach,Madhya Pradesh
Sonīpat,Haryana
Songadh,Gujarat
Sonepur,Odisha
Sonpet,Maharashtra
Rajpur Sonarpur,West Bengal
Sonāri,Assam
Sonāmukhi,West Bengal
Sompeta,Andhra Pradesh
Someshwar,Karnataka
Solan,Himachal Pradesh
Sojītra,Gujarat
Sojat,Rajasthan
Sohna,Haryana
Sohāgpur,Madhya Pradesh
Siwāna,Rajasthan
Siwān,Bihar
Sivakasi,Tamil Nadu
Sivagiri,Tamil Nadu
Sivagiri,Tamil Nadu
Sivaganga,Tamil Nadu
Siuri,West Bengal
Sitārganj,Uttarakhand
Sītāpur,Uttar Pradesh
Sītāmarhi,Bihar
Siswā Bāzār,Uttar Pradesh
Sisauli,Uttar Pradesh
Sirūr,Maharashtra
Sirumugai,Tamil Nadu
Siruguppa,Karnataka
Sirsilla,Telangana
Sirsi,Uttar Pradesh
Sirsi,Karnataka
Sirsāganj,Uttar Pradesh
Sirsa,Haryana
Sironj,Madhya Pradesh
Sirohi,Rajasthan
Sir Muttra,Rajasthan
Sīrkāzhi,Tamil Nadu
Sirhind,Punjab
Sirālkoppa,Karnataka
Sīra,Karnataka
Sinnar,Maharashtra
Singur,West Bengal
Singarāyakonda,Andhra Pradesh
Singānallūr,Tamil Nadu
Sindkhed Raja,Maharashtra
Sindhnūr,Karnataka
Sindgi,Karnataka
Shimla,Himachal Pradesh
Simga,Chhattisgarh
Simdega,Jharkhand
Silvassa,Dadra and Nagar Haveli and Daman and Diu
Silvāni,Madhya Pradesh
Sillod,Maharashtra
Silchar,Assam
Silao,Bihar
Sīkar,Rajasthan
Sikandra Rao,Uttar Pradesh
Sikandarpur,Uttar Pradesh
Sikandarābād,Uttar Pradesh
Sikka,Gujarat
Sijua,Jharkhand
Sihorā,Madhya Pradesh
Sihor,Gujarat
Sidlaghatta,Karnataka
Sidhi,Madhya Pradesh
Sidhaulī,Uttar Pradesh
Siddipet,Telangana
Siddhapur,Gujarat
Sibsāgar,Assam
Shyamnagar,West Bengal
Shopian,Jammu and Kashmir
Shujālpur,Madhya Pradesh
Shrīrangapattana,Karnataka
Shrīrāmpur,West Bengal
Shrīgonda,Maharashtra
Shorāpur,Karnataka
Shōranūr,Kerala
Sholinghur,Tamil Nadu
Sholapur,Maharashtra
Shivpuri,Madhya Pradesh
Shīshgarh,Uttar Pradesh
Shirpur,Maharashtra
Shirhatti,Karnataka
Shirdi,Maharashtra
Shivamogga,Karnataka
Shillong,Meghalaya
Siliguri,West Bengal
Shikohābād,Uttar Pradesh
Shikārpūr,Uttar Pradesh
Shikaripura,Karnataka
Shiggaon,Karnataka
Shertallai,Kerala
Sherkot,Uttar Pradesh
Sherghāti,Bihar
Sheopur,Madhya Pradesh
Sheohar,Bihar
Sheoganj,Rajasthan
Shenkottai,Tamil Nadu
Shehera,Gujarat
Shegaon,Maharashtra
Shāntipur,West Bengal
Shamsābād,Uttar Pradesh
Shamsābād,Uttar Pradesh
Shāmli,Uttar Pradesh
Shāmgarh,Madhya Pradesh
Shājāpur,Madhya Pradesh
Sheikhpura,Bihar
Shāhpura,Rajasthan
Shāhpura,Rajasthan
Shāhpur,Uttar Pradesh
Shāhpur,Bihar
Shāhpur,Madhya Pradesh
Shāhpur,Karnataka
Shāhjānpur,Uttar Pradesh
Shāhi,Uttar Pradesh
Shāhgarh,Madhya Pradesh
Shāhganj,Uttar Pradesh
Shahdol,Madhya Pradesh
Shāhāda,Maharashtra
Shāhābād,Haryana
Shāhābād,Uttar Pradesh
Shāhābād,Uttar Pradesh
Shāhābād,Karnataka
Siwāni,Haryana
Settūr,Tamil Nadu
Serchhīp,Mizoram
Sedam,Karnataka
Seoni Mālwa,Madhya Pradesh
Seoni Chhapāra,Madhya Pradesh
Seoni,Madhya Pradesh
Seondha,Madhya Pradesh
Seohāra,Uttar Pradesh
Shendurjana,Maharashtra
Sendhwa,Madhya Pradesh
Sendamangalam,Tamil Nadu
Sehore,Madhya Pradesh
Secunderabad,Telangana
Sāyla,Gujarat
Sawai Madhopur,Rajasthan
Sāvli,Gujarat
Sāvda,Maharashtra
Savanūr,Karnataka
Sāvantvādi,Maharashtra
Sausar,Madhya Pradesh
Saundatti,Karnataka
Sathyamangalam,Tamil Nadu
Sattur,Tamil Nadu
Sattenapalle,Andhra Pradesh
Satna,Madhya Pradesh
Satara,Maharashtra
Satānā,Maharashtra
Sāsvad,Maharashtra
Sasarām,Bihar
Sawar,Rajasthan
Sarkhej,Gujarat
Sardulgarh,Punjab
Sardhana,Uttar Pradesh
Sardārshahr,Rajasthan
Sarauli,Uttar Pradesh
Sārangpur,Madhya Pradesh
Saraipali,Chhattisgarh
Sarāi Mīr,Uttar Pradesh
Sarāi Ākil,Uttar Pradesh
Saoner,Maharashtra
Sānwer,Madhya Pradesh
Sānkrāil,West Bengal
Sankeshwar,Karnataka
Sankarankovil,Tamil Nadu
Sangrūr,Punjab
Sāngola,Maharashtra
Sangod,Rajasthan
Sāngli,Maharashtra
Sangariā,Rajasthan
Sangāreddi,Telangana
Sangamner,Maharashtra
Sandūr,Karnataka
Sandīla,Uttar Pradesh
Sāndi,Uttar Pradesh
Sancoale,Goa
Sānchor,Rajasthan
Sanāwad,Madhya Pradesh
Sanaur,Punjab
Sānand,Gujarat
Samthar,Uttar Pradesh
Samrāla,Punjab
Sāmpla,Haryana
Samdari,Rajasthan
Sāmbūrvadakara,Tamil Nadu
Sāmbhar,Rajasthan
Sambhal,Uttar Pradesh
Sambalpur,Odisha
Sāmba,Jammu and Kashmir
Samāstipur,Bihar
Samāna,Punjab
Sāmalkot,Andhra Pradesh
Samālkha,Haryana
Samālka,Delhi
Sālūr,Andhra Pradesh
Sālūmbar,Rajasthan
Salem,Tamil Nadu
Salāya,Gujarat
Saktī,Chhattisgarh
Sakri,Maharashtra
Sakleshpur,Karnataka
Saint Thomas Mount,Tamil Nadu
Sainthia,West Bengal
Selu,Maharashtra
Saiha,Mizoram
Saidpur,Uttar Pradesh
Sāhibganj,Bihar
Sāhibganj,Jharkhand
Sahāwar,Uttar Pradesh
Sahaswān,Uttar Pradesh
Sahaspur,Uttar Pradesh
Saharsa,Bihar
Sahāranpur,Uttar Pradesh
Sāgwāra,Rajasthan
Sagauli,Bihar
Saugor,Madhya Pradesh
Sāgar,Karnataka
Safīpur,Uttar Pradesh
Safidon,Haryana
Sādri,Rajasthan
Sadasivpet,Telangana
Sadalgi,Karnataka
Sadābād,Uttar Pradesh
Sachīn,Gujarat
Sabalgarh,Madhya Pradesh
Rusera,Bihar
Rura,Uttar Pradesh
Ropar,Punjab
Rūdarpur,Uttar Pradesh
Roorkee,Uttarakhand
Ron,Karnataka
Rohtak,Haryana
Roha,Maharashtra
Robertsonpet,Karnataka
Robertsganj,Uttar Pradesh
Risod,Maharashtra
Rishra,West Bengal
Rishīkesh,Uttarakhand
Reengus,Rajasthan
Richha,Uttar Pradesh
Rewāri,Haryana
Rewa,Madhya Pradesh
Revelganj,Bihar
Repalle,Andhra Pradesh
Reoti,Uttar Pradesh
Renukūt,Uttar Pradesh
Renigunta,Andhra Pradesh
Remuna,Odisha
Rehli,Madhya Pradesh
Rāzām,Andhra Pradesh
Raybag,Karnataka
Rāyagada,Odisha
Rāyadrug,Andhra Pradesh
Rayachoti,Andhra Pradesh
Rāya,Uttar Pradesh
Raxaul,Bihar
Rāwatsār,Rajasthan
Rāwatbhāta,Rajasthan
Rāver,Maharashtra
Rourkela,Odisha
Rātu,Jharkhand
Ratnagiri,Maharashtra
Ratlām,Madhya Pradesh
Ratia,Haryana
Rāth,Uttar Pradesh
Ratanpur,Chhattisgarh
Ratangarh,Rajasthan
Rasrā,Uttar Pradesh
Rasipuram,Tamil Nadu
Rasapūdipalem,Andhra Pradesh
Rāpar,Gujarat
Rānpur,Gujarat
Rānīpur,Uttar Pradesh
Rānipet,Tamil Nadu
Rānikhet,Uttarakhand
Rānīganj,West Bengal
Ranebennur,Karnataka
Rānia,Haryana
Rangia,Assam
Rangāpāra,Assam
Ranchi,Jharkhand
Rānāvāv,Gujarat
Rānāghāt,West Bengal
Rāmtek,Maharashtra
Rampur Hat,West Bengal
Rāmpura,Punjab
Rāmpura,Madhya Pradesh
Rāmpur,Uttar Pradesh
Rāmpur,Uttar Pradesh
Rāmpur,Odisha
Rāmnagar,Uttarakhand
Rāmnagar,Bihar
Rāmnagar,Uttar Pradesh
Rāmjībanpur,West Bengal
Rāmgundam,Telangana
Rāmgarh,Rajasthan
Rāmgarh,Rajasthan
Rāmgarh,Jharkhand
Rāmganj Mandi,Rajasthan
Rameswaram,Tamil Nadu
Rāmdurg,Karnataka
Rāmāpuram,Andhra Pradesh
Ramanathapuram,Tamil Nadu
Closepet,Karnataka
Rāmachandrapuram,Andhra Pradesh
Rājūra,Maharashtra
Rājula,Gujarat
Rājsamand,Rajasthan
Rajpura,Punjab
Alirajpur,Madhya Pradesh
Rajpur,Madhya Pradesh
Rājpīpla,Gujarat
Rāj-Nāndgaon,Chhattisgarh
Rājmahal,Jharkhand
Rājkot,Gujarat
Rājgurunagar,Maharashtra
Rājgīr,Bihar
Rājgarh,Rajasthan
Rājgarh,Rajasthan
Rājgarh,Madhya Pradesh
Rājgarh,Madhya Pradesh
Rajaori,Jammu and Kashmir
Rajauli,Bihar
Rajapalayam,Tamil Nadu
Rāzampeta,Andhra Pradesh
Rājaldesar,Rajasthan
Rājākhera,Rajasthan
Rajamahendravaram,Andhra Pradesh
Rāisinghnagar,Rajasthan
Raisen,Madhya Pradesh
Rāipur,Uttarakhand
Raipur,Rajasthan
Raipur,Chhattisgarh
Rāikot,Punjab
Raigarh,Chhattisgarh
Rāiganj,West Bengal
Rāichūr,Karnataka
Rāhuri,Maharashtra
Rāhon,Punjab
Rahimatpur,Maharashtra
Rāhatgarh,Madhya Pradesh
Rahata,Maharashtra
Raghunathpur,West Bengal
Rāghogarh,Madhya Pradesh
Rafiganj,Bihar
Raebareli,Uttar Pradesh
Rādhanpur,Gujarat
Rabkavi,Karnataka
Kollam,Kerala
Koyilandy,Kerala
Kasba,Bihar
Qadian,Punjab
Puttūr,Andhra Pradesh
Puttūr,Karnataka
Pushkar,Rajasthan
Pusad,Maharashtra
Purwā,Uttar Pradesh
Purushottampur,Odisha
Puruliya,West Bengal
Purnia,Bihar
Pūrna,Maharashtra
Puri,Odisha
Pūranpur,Uttar Pradesh
Purāini,Bihar
Pupri,Bihar
Punjai Puliyampatti,Tamil Nadu
Punganūru,Andhra Pradesh
Pune,Maharashtra
Pūndri,Haryana
Punāsa,Madhya Pradesh
Punalūr,Kerala
Pūnāhāna,Haryana
Pulwama,Jammu and Kashmir
Puliyankudi,Tamil Nadu
Pulivendla,Andhra Pradesh
Pulgaon,Maharashtra
Pukhrāyān,Uttar Pradesh
Pugalūr,Tamil Nadu
Pudunagaram,Kerala
Pudukkottai,Tamil Nadu
Proddatūr,Andhra Pradesh
Pratāpgarh,Rajasthan
Pottanūr,Tamil Nadu
Port Blair,Andaman and Nicobar
Porsa,Madhya Pradesh
Porbandar,Gujarat
Poonamalle,Tamil Nadu
Ponnūru,Andhra Pradesh
Ponneri,Tamil Nadu
Ponnāni,Kerala
Puducherry,Puducherry
Ponda,Goa
Polūr,Tamil Nadu
Pollachi,Tamil Nadu
Polavaram,Andhra Pradesh
Polasara,Odisha
Pokaran,Rajasthan
Podili,Andhra Pradesh
Pithorāgarh,Uttarakhand
Pithāpuram,Andhra Pradesh
Pirthīpur,Madhya Pradesh
Piro,Bihar
Piriyāpatna,Karnataka
Piravam,Kerala
Pīpri,Maharashtra
Pipraich,Uttar Pradesh
Pipili,Odisha
Pipariā,Madhya Pradesh
Pīpār,Rajasthan
Pinjaur,Haryana
Pindwāra,Rajasthan
Pināhat,Uttar Pradesh
Pimpri,Maharashtra
Pilkhua,Uttar Pradesh
Pīlibhīt,Uttar Pradesh
Pilibangan,Rajasthan
Pīleru,Andhra Pradesh
Pilāni,Rajasthan
Pihānī,Uttar Pradesh
Pidugurālla,Andhra Pradesh
Pichor,Madhya Pradesh
Phulpur,Uttar Pradesh
Phulera,Rajasthan
Phulbāni,Odisha
Phirangipuram,Andhra Pradesh
Phillaur,Punjab
Phek,Manipur
Phaphūnd,Uttar Pradesh
Phaltan,Maharashtra
Phalodi,Rajasthan
Phalauda,Uttar Pradesh
Phagwāra,Punjab
Petlāwad,Madhya Pradesh
Petlād,Gujarat
Pethāpur,Gujarat
Perundurai,Tamil Nadu
Perumpāvūr,Kerala
Periyanayakkanpalaiyam,Tamil Nadu
Periyakulam,Tamil Nadu
Perintalmanna,Kerala
Peravurani,Tamil Nadu
Peranāmpattu,Tamil Nadu
Perambalur,Tamil Nadu
Penukonda,Andhra Pradesh
Penugonda,Andhra Pradesh
Pennāgaram,Tamil Nadu
Pennādam,Tamil Nadu
Pen,Maharashtra
Pehowa,Haryana
Peddāpuram,Andhra Pradesh
Peddapalli,Telangana
Peddanāyakkanpālaiyam,Tamil Nadu
Pedana,Andhra Pradesh
Payyanur,Kerala
Pawāyan,Uttar Pradesh
Pāvugada,Karnataka
Pauri,Uttarakhand
Pawni,Maharashtra
Pātūr,Maharashtra
Pattukkottai,Tamil Nadu
Pattiyūrgrāmam,Kerala
Patti,Punjab
Pattan,Jammu and Kashmir
Pattāmbi,Kerala
Patrātu,Jharkhand
Patnāgarh,Odisha
Patna,Bihar
Patiāla,Punjab
Pāthri,Maharashtra
Patharia,Madhya Pradesh
Pāthardih,Jharkhand
Pāthardi,Maharashtra
Pathānkot,Punjab
Pathanāmthitta,Kerala
Pathalgaon,Chhattisgarh
Pataudi,Haryana
Patancheru,Telangana
Pātan,Gujarat
Patāmundai,Odisha
Pāsighāt,Arunachal Pradesh
Pasān,Chhattisgarh
Parvatsar,Rajasthan
Pārvatipuram,Andhra Pradesh
Parūr,Kerala
Partūr,Maharashtra
Parola,Maharashtra
Parli Vaijnāth,Maharashtra
Pariyāpuram,Kerala
Parīchhatgarh,Uttar Pradesh
Pārdi,Gujarat
Parbhani,Maharashtra
Paravūr Tekkumbhāgam,Kerala
Pārassāla,Tamil Nadu
Parāsia,Madhya Pradesh
Paramagudi,Tamil Nadu
Paralakhemundi,Odisha
Parādīp Garh,Odisha
Pāppinisshēri,Kerala
Papanasam,Tamil Nadu
Pāonta Sāhib,Himachal Pradesh
Panvel,Maharashtra
Panth Pīplia,Madhya Pradesh
Panruti,Tamil Nadu
Panna,Madhya Pradesh
Ponmana,Kerala
Panipat,Haryana
Pānihāti,West Bengal
Pandua,West Bengal
Pāndhurnā,Madhya Pradesh
Pandharpur,Maharashtra
Pāndharkawada,Maharashtra
French Rocks,Karnataka
Pandaria,Chhattisgarh
Panjim,Goa
Pānakkudi,Tamil Nadu
Panāgar,Madhya Pradesh
Pāmūru,Andhra Pradesh
Pāmpur,Jammu and Kashmir
Pāmban,Tamil Nadu
Palwal,Haryana
Pāloncha,Telangana
Palani,Tamil Nadu
Palmaner,Andhra Pradesh
Pallippatti,Tamil Nadu
Pallikonda,Tamil Nadu
Pallāvaram,Tamil Nadu
Pallappatti,Tamil Nadu
Palladam,Tamil Nadu
Pālkonda,Andhra Pradesh
Pālitāna,Gujarat
Paliā Kalān,Uttar Pradesh
Pāli,Rajasthan
Pāli,Madhya Pradesh
Palakkad,Kerala
Pālghar,Maharashtra
Palera,Madhya Pradesh
Palāsa,Andhra Pradesh
Pālanpur,Gujarat
Palakollu,Andhra Pradesh
Pālakkodu,Tamil Nadu
Pakur,Jharkhand
Pākāla,Andhra Pradesh
Paithan,Maharashtra
Pahāsu,Uttar Pradesh
Padrauna,Uttar Pradesh
Padra,Gujarat
Padmapur,Odisha
Padmanābhapuram,Tamil Nadu
Pādiyanallūr,Tamil Nadu
Padampur,Rajasthan
Padampur,Odisha
Padam,Ladakh
Pachperwa,Uttar Pradesh
Pāchora,Maharashtra
Pachor,Madhya Pradesh
Ottapalam,Kerala
Dharashiv,Maharashtra
Orai,Uttar Pradesh
Ongole,Andhra Pradesh
Omalur,Tamil Nadu
Okha,Gujarat
Ozar,Maharashtra
Od,Gujarat
Obra,Uttar Pradesh
Nūzvīd,Andhra Pradesh
Nūrpur,Uttar Pradesh
Nūh,Haryana
Nowrangapur,Odisha
Nagaon,Assam
Nowgong,Madhya Pradesh
North Lakhimpur,Assam
North Guwāhāti,Assam
Nongstoin,Meghalaya
Nongpoh,Meghalaya
Nokha,Rajasthan
Nohar,Rajasthan
Noāmundi,Jharkhand
Nizāmābād,Telangana
Nīsang,Haryana
Nirmāli,Bihar
Nirmal,Telangana
Nipāni,Maharashtra
Neem ka Thana,Rajasthan
Nīmbāhera,Rajasthan
Nimāparha,Odisha
Nīmāj,Rajasthan
Nīlokheri,Haryana
Nīlēshwar,Kerala
Nilanga,Maharashtra
Nilambūr,Kerala
Nilakottai,Tamil Nadu
Nilagiri,Odisha
Nihtaur,Uttar Pradesh
Nidadavole,Andhra Pradesh
Nichlaul,Uttar Pradesh
Ngūr,Mizoram
Neyyāttinkara,Kerala
Neyveli,Tamil Nadu
New Delhi,Delhi
Neral,Maharashtra
Ner,Maharashtra
Nepānagar,Madhya Pradesh
Nellore,Andhra Pradesh
Nellimarla,Andhra Pradesh
Nellikkuppam,Tamil Nadu
Nelamangala,Karnataka
Nedumangād,Kerala
Nazareth,Tamil Nadu
Nāyudupet,Andhra Pradesh
Nayāgarh,Odisha
Nawanshahr,Punjab
Nawāpāra,Chhattisgarh
Nawalgarh,Rajasthan
Niwai,Rajasthan
Nawāda,Bihar
Nawābganj,Uttar Pradesh
Nawābganj,Uttar Pradesh
Nawābganj,Uttar Pradesh
Nāwa,Rajasthan
Navsari,Gujarat
Navāpur,Maharashtra
Navalgund,Karnataka
Navadwīp,West Bengal
Nautanwa,Uttar Pradesh
Naugachhia,Bihar
Naubatpur,Bihar
Natham,Tamil Nadu
Nāthdwāra,Rajasthan
Nāteputa,Maharashtra
Nasrullāhganj,Madhya Pradesh
Nāsriganj,Bihar
Nāspur,Telangana
Nasīrābād,Rajasthan
Nashik,Maharashtra
Narwar,Madhya Pradesh
Narwāna,Haryana
Narsīpatnam,Andhra Pradesh
Narsinghgarh,Madhya Pradesh
Narsimhapur,Madhya Pradesh
Narsampet,Telangana
Naroli,Dadra and Nagar Haveli and Daman and Diu
Nārnaund,Haryana
Narnaul,Haryana
Narkher,Maharashtra
Narkatiāganj,Bihar
Nargund,Karnataka
Narela,Delhi
Naregal,Karnataka
Nārāyanpet,Telangana
Nārāyankher,Telangana
